"id_asesor","nombre_completo","modalidad_trabajo","estado_actual","test_estres","test_empatia","tmo_historico_avg","fcr_historico_avg","total_micro_ausentismos","nota_calidad_avg","total_errores_criticos","gravedad_incidencias_total","motivacion_avg"
"A-001","Albano Llopis Hierro","Presencial","Activo","9.50","3.50","6.07","85.77","172","76.78","5","0","5.29"
"A-002","Buenaventura de Bonet","Virtual","Activo","8.40","9.50","9.77","95.53","192","69.35","8","16","5.92"
"A-003","Ileana Antón-Andrés","Virtual","Renuncia","7.00","8.90","4.42","89.22","76","71.73","6","8","5.38"
"A-004","César Guerrero Vazquez","Virtual","Activo","6.20","2.50","7.64","75.74","112","74.29","7","4","5.54"
"A-005","Alba Mar Flor Rivas","Presencial","Activo","4.10","8.10","7.21","88.94","170","79.83","8","12","4.71"
"A-006","Jacobo del Agudo","Presencial","Activo","2.40","6.20","6.58","64.46","178","77.66","8","8","5.50"
"A-007","Paco Rocamora Nieto","Presencial","Activo","6.40","6.10","8.40","63.22","158","84.26","4","4","5.46"
"A-008","Casemiro Garrido-Navarro","Virtual","Renuncia","3.90","4.50","8.97","73.93","65","89.58","0","4","5.47"
"A-009","Arturo Pinto Caballero","Virtual","Activo","8.80","5.50","5.77","83.57","126","71.59","4","4","6.00"
"A-010","Soraya Núñez Lamas","Virtual","Activo","9.90","4.60","6.41","75.78","126","75.55","8","11","5.67"
"A-011","Pánfilo Segovia Casanovas","Presencial","Activo","7.80","5.90","7.94","72.98","156","63.05","5","1","5.46"
"A-012","Ani Marcos Pardo","Virtual","Renuncia","1.80","6.70","7.42","86.14","59","72.78","3","12","5.00"
"A-013","Celia Baños-Arroyo","Virtual","Activo","3.60","7.10","8.56","91.36","171","72.46","2","5","5.42"
"A-014","Rolando del Bernal","Presencial","Despedido","2.00","5.80","7.66","90.32","28","72.04","3","3","6.08"
"A-015","Toribio de Pinto","Presencial","Activo","6.90","7.50","6.55","69.96","163","74.73","6","5","5.21"
"A-016","Javi Patiño-Cánovas","Presencial","Renuncia","7.90","2.30","9.86","90.91","121","83.11","0","4","4.84"
"A-017","Felicidad Gallego Lasa","Presencial","Despedido","9.30","2.90","7.59","57.21","8","62.30","0","1","6.00"
"A-018","Marco Donoso Hierro","Virtual","Renuncia","4.90","8.40","8.20","82.77","80","92.73","0","1","4.69"
"A-019","Jerónimo Pino Lerma","Virtual","Despedido","9.10","3.90","9.38","64.95","6","59.50","1","0","3.33"
"A-020","Constanza del Barba","Presencial","Activo","8.90","1.20","6.34","59.32","150","74.09","5","13","4.58"
"A-021","Segismundo de Moles","Virtual","Activo","3.90","2.40","8.17","59.59","139","73.50","7","1","5.46"
"A-022","Edelmira Batalla Galván","Presencial","Activo","8.80","3.00","8.36","84.89","160","77.43","7","7","5.21"
"A-023","Valentina Miranda-Garcia","Presencial","Activo","4.40","9.60","6.53","77.99","150","65.00","10","4","5.71"
"A-024","Gertrudis Segarra Clavero","Presencial","Activo","3.70","6.20","6.44","92.87","113","75.82","7","0","6.58"
"A-025","Buenaventura Huerta-Jódar","Virtual","Activo","6.80","9.40","8.25","61.27","171","85.23","0","11","5.71"
"A-026","Inés Pujol-Paredes","Virtual","Activo","4.00","6.20","6.93","81.99","156","68.28","3","1","4.96"
"A-027","Bruno del Bou","Presencial","Activo","6.70","5.30","4.79","90.28","136","76.14","6","12","5.29"
"A-028","Tito Canals Coronado","Virtual","Despedido","6.50","3.80","7.10","74.35","25","74.80","1","0","5.00"
"A-029","Ruy Roca Bartolomé","Virtual","Activo","6.10","6.50","8.60","88.94","140","77.94","4","4","6.25"
"A-030","Francisca Solé Ángel","Presencial","Renuncia","4.40","2.30","5.74","62.93","5","72.70","2","2","4.40"
"A-031","Leonel Alberdi-Carbó","Virtual","Renuncia","5.90","9.10","7.75","75.86","69","67.64","5","8","6.25"
"A-032","Pili del Nieto","Presencial","Despedido","6.40","8.50","7.78","66.63","46","82.10","0","0","6.22"
"A-033","Eugenio Royo Cruz","Presencial","Activo","5.90","3.90","7.47","56.22","104","71.58","2","0","5.21"
"A-034","Abril Lago Valle","Virtual","Renuncia","5.00","9.60","5.13","61.70","6","75.40","2","0","5.00"
"A-035","José Luis Camino Martín","Virtual","Despedido","1.10","8.40","7.24","59.64","135","73.88","1","3","3.91"
"A-036","María Fernanda Flor","Virtual","Despedido","6.30","7.00","5.27","90.60","19","69.90","1","8","4.00"
"A-037","Glauco Cuéllar Abascal","Presencial","Activo","2.50","2.10","7.37","67.19","83","68.50","10","4","5.96"
